BuildingType,PositionX,PositionY,PositionZ,RotX,RotY,RotZ
yuukaku2 (1),204.3749,4.451729,8.24,0,180,0
yuukaku2,81.41,4.451729,8.24,0,180,0
yuukaku2 (4),134.4249,4.451729,74.96553,0,270,0
yuukaku2 (1),388,4.45173,40.2,0,270,0
yuukaku2 (5),147.3849,4.451729,75.44553,0,90,0
yuukaku2 (3),61.77493,4.451729,49.12553,0,270,0
yuukaku2,256.1,4.451734,39.8,0,270,0
yuukaku2 (2),-14.75507,4.451729,47.23553,0,90,0
Light (33),265.02,-0.81,131.58,0,0,0
Light (24),334.83,-0.81,43.83,0,0,0
Light (31),370.11,-0.81,100.65,0,0,0
Light (6),118.83,-0.81,43.83,0,0,0
Light (17),165.3,-0.81,131.58,0,0,0
Light (2),-44.23888,-0.3506434,4.9,0,0,0
Light (5),44.43,-0.81,43.83,0,0,0
Light (15),165.3,-0.81,73.02,0,0,0
Light (30),370.11,-0.81,73.02,0,0,0
Light (27),334.83,-0.81,131.58,0,0,0
Light (11),118.83,-0.81,100.65,0,0,0
Light (18),239.97,-0.81,15.03,0,0,0
Light (35),309.42,-0.81,131.58,0,0,0
Light (3),44.43,-0.81,15.03,0,0,0
Light (10),118.83,-0.81,73.02,0,0,0
Light (21),239.97,-0.81,100.65,0,0,0
Light (1),-79.17888,-0.3506434,4.9,0,0,0
Light (22),239.97,-0.81,131.58,0,0,0
Light (29),370.11,-0.81,43.83,0,0,0
Light (16),165.3,-0.81,100.65,0,0,0
Light (20),239.97,-0.81,73.02,0,0,0
Light,-108.2189,-0.3506434,4.9,0,0,0
Light (25),334.83,-0.81,73.02,0,0,0
Light (28),370.11,-0.81,15.03,0,0,0
Light (8),44.43,-0.81,100.65,0,0,0
Light (12),118.83,-0.81,131.58,0,0,0
Light (7),44.43,-0.81,73.02,0,0,0
Light (23),334.83,-0.81,15.03,0,0,0
Light (26),334.83,-0.81,100.65,0,0,0
Light (4),118.83,-0.81,15.03,0,0,0
