EnemyType,PositionX,PositionY,PositionZ
RoketEnemy,-75,5.5,0 
RoketEnemy,-50,5.5,0 
RoketEnemy,-40,5.5,0 
RoketEnemy,-33,5.5,0 
RoketEnemy,10,5,0
RoketEnemy,20,5,0 
RoketEnemy,30,4,0 
RoketEnemy,40,5,0
RoketEnemy,49,5,0
RoketEnemy,90,5,0
RoketEnemy,100,5,0
BalloonEnemy,-30,5,0 
BalloonEnemy,-28,4,0 
BalloonEnemy,-25,5,0 
BalloonEnemy,-6,5,0 
BalloonEnemy,0,5,0 
BalloonEnemy,23,5,0 
BalloonEnemy,25,4,0 
BalloonEnemy,27,5,0 
BlueEnemy,43.5,1,0 
KarakasaGhost,-35,5,0 
KarakasaGhost,-35,5,0 
KarakasaGhost,-30,5,0 
KarakasaGhost,-30,5,0 
KarakasaGhost,-25,5,0 
KarakasaGhost,-25,5,0 
KarakasaGhost,-22,5,0 
KarakasaGhost,-22,5,0 
KarakasaGhost,-18,5,0 
KarakasaGhost,-18,5,0 
KarakasaGhost,65,5,0
KarakasaGhost,75,5,0
BlueBoundEnemy,-50,1,0 
BlueBoundEnemy,-50,3,0 
BlueBoundEnemy,-45,1,0 
BlueBoundEnemy,-45,3,0 
BlueBoundEnemy,-35,3,0 
BlueBoundEnemy,-30,1,0 
BlueBoundEnemy,-30,3,0 
BlueBoundEnemy,-19,1,0 
BlueBoundEnemy,-19,3,0 
BlueBoundEnemy,-16,1,0 
BlueBoundEnemy,-16,1,0 
BlueBoundEnemy,-13,1,0 
BlueBoundEnemy,-1,1,0 
BlueBoundEnemy,4,1,0 
BlueBoundEnemy,60,1,0
BlueBoundEnemy,70,1,0
BlueBoundEnemy,85,1,0
BlueBoundEnemy,95,1,0
FallEnemy,66.5,-9.4,0
FallEnemy,86,-9.4,0
FallEnemy,100.2,-9.4,0
FallEnemy,116,-9.4,0
HomingEnemy,136.7,4.81,0
HomingEnemy,146.7,8.8,0
HomingEnemy,137,13,0
HomingEnemy,146.5,0.5,0
